title,year,link
UNIDO and Sustainable Supply Chains,2023,https://www.unido.org/sites/default/files/unido-publications/2024-04/UNIDO%20and%20Sustainable%20Supply%20Chain%20-%20Resolution%20GC.20.pdf
"Gender, Digital Transformation and Artificial Intelligence",2023,https://www.unido.org/sites/default/files/unido-publications/2023-11/Gender%2C%20Digital%20Transformation%20and%20Artificial%20Intelligence%20Report_0.pdf
IID Policy Brief 9: Policy packages for decarbonizing heavy industry,2023,https://www.unido.org/sites/default/files/unido-publications/2023-12/IID%20Policy%20Brief%209%20-%20Policy%20packages%20for%20decarbonizing%20heavy%20industry.pdf
IID Policy Brief 8: Industrial policy solutions for LDCs: How industrialization strengthens food security,2023,https://www.unido.org/sites/default/files/unido-publications/2023-11/Unido_NT_08_Eradicating%20hunger%20in%20LDCs%20using%20industrial%20policy_0.pdf
IID Policy Brief 7: Diving into diversification How North African countries can boost economic ties with the EU,2023,https://www.unido.org/sites/default/files/unido-publications/2023-11/IID%20Policy%20Brief%207%20-%20Diving%20into%20diversification%20How%20North%20African%20countries%20can%20boost%20economic%20ties%20with%20the%20EU.pdf
IID Policy Brief 6: Who is at the forefront of the green technology frontier?,2023,https://www.unido.org/sites/default/files/unido-publications/2023-10/IID%20Policy%20Brief%206.pdf
IID Policy Brief 4: Aligning digital and industrial policy,2023,https://www.unido.org/sites/default/files/unido-publications/2023-05/IID%20Policy%20Brief%204%20-%20Aligning%20digital%20and%20industrial%20policy%20-%20FINAL.pdf
Accelerating and Scaling-up Collective Action for Sustainable Supply Chains,2023,https://www.unido.org/sites/default/files/unido-publications/2023-11/Accelerating%20and%20Scaling-up%20Collective%20Action%20for%20Sustainable%20Supply%20Chains.pdf
"Addressing the Challenges of Plastic Pollution, including in the Marine Environment, Using Circular Economy Methods",2023,https://www.unido.org/sites/default/files/unido-publications/2024-12/UNIDO_Addressing%20the%20Challenges%20of%20Plastic%20Pollution_v04_LR%20%28003%29.pdf
Industrial Development Report 2024,2023,https://www.unido.org/sites/default/files/unido-publications/2024-06/Industrial%20Development%20Report%202024.pdf
Industrial Development Report 2024 - Overview,2023,https://www.unido.org/sites/default/files/unido-publications/2024-06/IDR24%20Overview%20%28English%29.pdf
Supporting Sustainable Supply chains - Through South-South and Triangular Industrial Cooperation,2023,https://www.unido.org/sites/default/files/unido-publications/2024-02/Supporting_Sustainable_Supply_chains_Through_SSTIC%20%282023%29.pdf
World Cotton Day 2023 Report,2023,https://www.unido.org/sites/default/files/unido-publications/2024-03/World%20Cotton%20Day%202023_Final%20Report_EN.pdf
La coopération industrielle de l’ONUDI avec les pays francophones,2023,https://www.unido.org/sites/default/files/unido-publications/2024-01/UNIDO%20Brochure%20Final%2018.12.23_0.pdf
UNIDO Newsletter - Issue 9,2023,https://www.unido.org/sites/default/files/unido-publications/2023-12/DG%20Newsletter%20Issue%209.pdf
Peru in the global economy: Recent trends and potential diversification strategies,2023,https://www.unido.org/sites/default/files/unido-publications/2023-12/Peru%20in%20the%20global%20economy%20-%20SINGLE%20PAGE%20WEB.pdf
International Yearbook of Industrial Statistics - 2023,2023,https://www.unido.org/sites/default/files/unido-publications/2023-12/UNIDO_IndustrialStatistics_Yearbook_2023.pdf
International Yearbook of Industrial Statistics - Global Highlights,2023,https://www.unido.org/sites/default/files/unido-publications/2023-12/documents_Yearbook_2023_UNIDO_IndustrialStatistics_Yearbook_2023_Highlights.pdf
Factsheet: Africa,2023,https://www.unido.org/sites/default/files/unido-publications/2023-12/documents_Yearbook_2023_UNIDO_IndustrialStatistics_Yearbook_2023_Africa.pdf
Factsheet: Asia and Oceania,2023,https://www.unido.org/sites/default/files/unido-publications/2023-12/documents_Yearbook_2023_UNIDO_IndustrialStatistics_Yearbook_2023_AsiaO.pdf
Factsheet: Latin America and the Caribbean,2023,https://www.unido.org/sites/default/files/unido-publications/2023-12/documents_Yearbook_2023_UNIDO_IndustrialStatistics_Yearbook_2023_LAC.pdf
Factsheet: Northern America and Europe,2023,https://www.unido.org/sites/default/files/unido-publications/2023-12/documents_Yearbook_2023_UNIDO_IndustrialStatistics_Yearbook_2023_NAE.pdf
Annual Report 2022,2023,https://www.unido.org/sites/default/files/unido-publications/2023-04/Annual%20Report%202022-English%20Spread.pdf
IID Policy Brief 2: Mission-oriented industrial strategy,2023,https://www.unido.org/sites/default/files/unido-publications/2023-04/IID%20Policy%20Brief%202%20-%20Mission-oriented%20industrial%20strategy%20-%20Final.pdf
Agriculture Systems Transformation Accelerator (ASTA),2023,https://www.unido.org/sites/default/files/unido-publications/2023-03/agriculture-systems-transformation-accelerator-asta-en.pdf
UNIDO Newsletter - Issue 1,2023,https://www.unido.org/sites/default/files/unido-publications/2023-03/DG-newsletter-issue-1.pdf
UNIDO Newsletter - Issue 6,2023,https://www.unido.org/sites/default/files/unido-publications/2023-10/DG%20Newsletter%20Issue%206-1.pdf
UNIDO Newsletter - Issue 5,2023,https://www.unido.org/sites/default/files/unido-publications/2023-09/Newsletter_Issue_5_0.pdf
UNIDO Newsletter - Issue 4,2023,https://www.unido.org/sites/default/files/unido-publications/2023-08/Newsletter%20Issue%204.pdf
IID Policy Brief 5: Greening industrial development,2023,https://www.unido.org/sites/default/files/unido-publications/2023-07/IID%20Policy%20Brief%205%20-%20Greening%20industrial%20development%20-%20FINAL_0.pdf
UNIDO Newsletter - Issue 3,2023,https://www.unido.org/sites/default/files/unido-publications/2023-07/Newsletter_Issue_3.pdf
UNIDO Newsletter - Issue 2,2023,https://www.unido.org/sites/default/files/unido-publications/2023-05/Newsletter%20Issue%202.pdf
Annual Report 2022 - Appendices,2023,https://www.unido.org/sites/default/files/unido-publications/2023-04/annual-report-final-appendices-2022-en.pdf
World Small Hydropower Development Report 2022 - Central Asia,2022,https://www.unido.org/sites/default/files/unido-publications/2026-02/World%20Small%20Hydropower%20Development%20Report%202022%20Central%20Asia.pdf
International Yearbook of Industrial Statistics - 2022,2022,https://www.unido.org/sites/default/files/unido-publications/2025-11/UNIDO_IndustrialStatistics_Yearbook_2022.pdf
Partnering for Africa's Challenge on Plastic Pollution,2022,https://www.unido.org/sites/default/files/unido-publications/2024-12/partnering_for_africa_s_plastic_challenge.pdf
Study on Plastic Value Chain in Nigeria,2022,https://www.unido.org/sites/default/files/unido-publications/2022-12/Plastic-value-chain-in-Nigeria.pdf
Annual Report 2021,2022,https://www.unido.org/sites/default/files/unido-publications/2023-02/UNIDO_AR2021_EN.pdf
Framework for stimulating private sector investments in renewable energy,2022,https://www.unido.org/sites/default/files/unido-publications/2022-12/CGS-Manual-Screen.pdf
Approaches to participatory policymaking processes: Technical Report,2022,https://www.unido.org/sites/default/files/unido-publications/2022-12/PPM-WEB-final.pdf
Making standards work for sustainable development,2022,https://www.unido.org/sites/default/files/unido-publications/2022-12/ISO-BROCHURE.pdf
"Characterizing UNIDO’s approach to Science, technology and innovation: A review of project evaluations 2010–2020",2022,https://www.unido.org/sites/default/files/unido-publications/2022-12/STI.pdf
Comparative Research Report on the Localized Performance Indicator Systems of the International Guidelines for Industrial Parks in China,2022,https://www.unido.org/sites/default/files/unido-publications/2023-01/IP-in-China-en.pdf
"Regional E-waste monitor for Latin-America, results for the 13 Countries participating in Project UNIDO-GEF",2022,https://www.unido.org/sites/default/files/unido-publications/2023-01/REM-LATAM-2021-Final-dec-10-en.pdf
Building a Successful Vaccine Manufacturing Business in Lower and Middle Income Countries Lessons from industry leaders and innovators,2022,https://www.unido.org/sites/default/files/unido-publications/2023-01/3249-Unido-Vaccine-Manufacturing-in-LMICs-document-v4-en.pdf
Investment for new opportunities,2022,https://www.unido.org/sites/default/files/unido-publications/2023-01/INOE-Brochure-amended-em-June-en.pdf
A Strategy for Rural Development: Promoting Entrepreneurial Behaviour among the Youth of Mozambique,2022,https://www.unido.org/sites/default/files/unido-publications/2023-01/A-Strategy-for-Rural-Development-Promoting-Entrepreneurial-Behaviour-among-the-Youth-of-Mozambique-en.pdf
Does entrepreneurship education to teenagers have different impacts over time: some evidences based on a an Entrepreneurship Education Programme on Mozambique Youth,2022,https://www.unido.org/sites/default/files/unido-publications/2023-01/Does-entrepreneurship-education-to-teenagers-have-different-impacts-over-time-some-evidences-based-on-a-an-Entrepreneurship-Education-Programme-on-Mozambique-Youth-en.pdf
Training programs in water management and sanitation,2022,https://www.unido.org/sites/default/files/unido-publications/2023-01/20210503-Brochure-H2O-Maghreb-en.pdf
Opportunities for Youth in Africa (OYA) Programme,2022,https://www.unido.org/sites/default/files/unido-publications/2023-01/OYA-general-brochure-Final-en.pdf
LevelUP Advancing Jordanian Industries,2022,https://www.unido.org/sites/default/files/unido-publications/2023-01/LEVEL-UP-Accelerator-Brochure-en.pdf
The Industrial Country Diagnostics methodology for the Program Country Partnership (PCP),2022,https://www.unido.org/sites/default/files/unido-publications/2023-01/PCP-industrial-country-diagnostics-methodology-en.pdf
Programme for Country Partnership PCP Industrial Diagnostic Study in Ivory Coast,2022,https://www.unido.org/sites/default/files/unido-publications/2023-01/PCP-diagnostics-Ivory-Coast-en.pdf
Programme for Country Partnership Diagnostic Study in Egypt,2022,https://www.unido.org/sites/default/files/unido-publications/2023-01/PCP-industrial-country-diagnostics-en.pdf
Industrial Diagnostic Study in Guinea 2021,2022,https://www.unido.org/sites/default/files/unido-publications/2023-01/Microsoft-Word-Guinea-Industrial-Diagnostics-en.pdf
Sudan Industrial Diagnostic Study 2021,2022,https://www.unido.org/sites/default/files/unido-publications/2023-01/Sudan-Diagnostic-Study-en.pdf
Programme for Country Partnership Industrial Diagnostic Study Rwanda 2020,2022,https://www.unido.org/sites/default/files/unido-publications/2023-01/PCP-Diagnostics-Rwanda-en.pdf
Industrial Development Report 2022,2021,https://www.unido.org/sites/default/files/unido-publications/2023-03/IDR-2022-en.pdf
Industrial Development Report 2022 - Key Findings,2021,https://www.unido.org/sites/default/files/unido-publications/2026-02/Industrial%20Development%20Report%202022%20-%20Key%20Findings.pdf
Industrial Development Report 2022 - Visual Executive Summary,2021,https://www.unido.org/sites/default/files/unido-publications/2026-02/Industrial%20Development%20Report%202022%20-%20Visual%20Executive%20Summary.pdf
"Reducing Plastic Leakage into the Environment in Africa: Sustainable alternative materials, innovative packaging and recycling",2021,https://www.unido.org/sites/default/files/unido-publications/2024-12/Reducing%20Plastic%20Leakage%20into%20the%20Environment%20in%20Africa%20Sustainable%20alternative%20materials%20%20innovative%20packaging%20and%20recycling.pdf
Study on Plastic Value Chain in Kenya,2021,https://www.unido.org/sites/default/files/unido-publications/2022-12/Plastic-value-chain-in-Kenya.pdf
Study on Plastic Value Chain in Egypt,2021,https://www.unido.org/sites/default/files/unido-publications/2024-12/Plastic_value_chain_in_Egypt.pdf
South-South and Triangular Industrial Cooperation by UNIDO,2021,https://www.unido.org/sites/default/files/unido-publications/2024-02/South-South%20and%20Triangular%20Industrial%20Cooperation%20by%20UNIDO.pdf
Circular Economy and Climate Change,2021,https://www.unido.org/sites/default/files/unido-publications/2024-04/GACERE_WPCECC.pdf
Circular Economy and Green Recovery,2021,https://www.unido.org/sites/default/files/unido-publications/2024-04/GACERE%20Working%20Document%20on%20Circular%20Economy%20and%20Green%20recovery_November%202021.pdf
UNIDO Guide to Gender Analysis and Gender Mainstreaming the Project Cycle,2021,https://www.unido.org/sites/default/files/unido-publications/2024-03/UNIDO_Guide_to_Gender_Analysis_and%20Gender_Mainstreaming_in_Project_Cycle.pdf
WAQSP: Gender and Standards,2021,https://www.unido.org/sites/default/files/unido-publications/2023-11/UNIDO_Flyer_Standardization.pdf
Industrial Development Report 2022 - Overview,2021,https://www.unido.org/sites/default/files/unido-publications/2023-03/IDR-2022-OVERVIEW-en.pdf
Montreal Protocol and beyond: 17 stories along the journey from ozone layer protection to sustainable development,2021,https://www.unido.org/sites/default/files/unido-publications/2023-02/montreal-protocol-and-beyond-en.pdf
Plastic Value Chain in Egypt,2021,https://www.unido.org/sites/default/files/unido-publications/2022-12/Plastic-value-chain-in-Egypt-en.pdf
UNIDO and the European Union State of the International Partnership 2021,2021,https://www.unido.org/sites/default/files/unido-publications/2022-12/UNIDO-European-Union-SOTIP-2021-en.pdf
Sectoral transformation for inclusive and sustainable industrial development Methodological approaches,2021,https://www.unido.org/sites/default/files/unido-publications/2023-01/Sectoral-Brochure-en.pdf
Impact assessment of COVID-19 on India’s Manufacturing Firms survey results April-June 2021,2021,https://www.unido.org/sites/default/files/unido-publications/2023-01/UNIDO-COVID19-impact-survey-India-AMR-en.pdf
Alternativas al Bromuro de Metilo,2021,https://www.unido.org/sites/default/files/unido-publications/2023-02/Methyl-Bromide-Alternatives-Chile-es.pdf
Promoting small scale biomass power plants in rural Thailand involving communities in Thailand’s sustainable energy future,2021,https://www.unido.org/sites/default/files/unido-publications/2023-02/PROMOTING-SMALL-SCALE-BIOMASS-POWER-PLANTS-IN-RURAL-THAILAND-en.pdf
Policy Assessment for the Economic Empowerment of Women in Green Industry Executive Summary: South Africa,2021,https://www.unido.org/sites/default/files/unido-publications/2023-02/Policy-Assessment-for-the-Economic-Empowerment-of--Women-in-Green-Industry-en.pdf
Policy Assessment for the Economic Empowerment of Women in Green Industry Executive Summary: Senegal,2021,https://www.unido.org/sites/default/files/unido-publications/2023-02/Policy-Assessment-for-the-Economic-Empowerment-of-Women-in-Green-Industry-Executive-Summary-Senegal-en.pdf
Policy Assessment for the Economic Empowerment of Women in Green Industry Country Report: Senegal,2021,https://www.unido.org/sites/default/files/unido-publications/2023-02/Policy-Assessment-for-the-Economic-Empowerment-of-Women-in-Green-Industry-Country-Report-Senegal-en.pdf
Policy Assessment for the Economic Empowerment of Women in Green Industry Executive Summary: Peru,2021,https://www.unido.org/sites/default/files/unido-publications/2023-02/Policy-Assessment-for-the-Economic-Empowerment-of-Women-in-Green-Industry-Executive-Summary-Peru-en.pdf
Policy Assessment for the Economic Empowerment of Women in Green Industry Country Report: Peru,2021,https://www.unido.org/sites/default/files/unido-publications/2023-02/Policy-Assessment-for-the-Economic-Empowerment-of-Women-in-Green-Industry-Country-Report-Peru-en.pdf
Funding sources to support investments in eco-industrial parks in Viet Nam eco-industrial park intervention in Viet Nam,2021,https://www.unido.org/sites/default/files/unido-publications/2023-02/funding-sources-to-support-investments-in-eco-industrial-parks-in-viet-nam-en.pdf
Policy Assessment for the Economic Empowerment of Women in Green Industry Executive Summary: Cambodia,2021,https://www.unido.org/sites/default/files/unido-publications/2023-02/Policy-Assessment-for-the-Economic-Empowerment-of-Women-in-Green-Industry-Executive-Summary-Cambodia-en.pdf
Policy Assessment for the Economic Empowerment of Women in Green Industry Country Report: Cambodia,2021,https://www.unido.org/sites/default/files/unido-publications/2023-02/Policy-Assessment-for-the-Economic-Empowerment-of-Women-in-Green-Industry-Country-Report-Cambodia-en.pdf
Impact assessment of covid-19 on Indonesia's manufacturing firms survey results May-June,2021,https://www.unido.org/sites/default/files/unido-publications/2023-02/impact-assessment-of-covid-19-on-indonesias-manufacturing-firms-en.pdf
Short food supply chains for promoting local food on local markets,2021,https://www.unido.org/sites/default/files/unido-publications/2023-02/short-food-supply-chains-for-promoting-local-food-on-local-markets-en.pdf
Impact assessment of covid-19 on Bangladesh's manufacturing firms,2021,https://www.unido.org/sites/default/files/unido-publications/2023-02/impact-assessment-of-covid-19-on-bangladeshs-manufacturing-firms-en.pdf
Impact assessment of covid-19 on Cambodia's manufacturing firms,2021,https://www.unido.org/sites/default/files/unido-publications/2023-02/impact-assessment-of-covid-19-on-cambodias-manufacturing-firms-en.pdf
Annual Report 2020,2021,https://www.unido.org/sites/default/files/unido-publications/2023-03/UNIDO-AR2020-en.pdf
"UNIDO Medium-term programme framework, 2022-2025",2021,https://www.unido.org/sites/default/files/unido-publications/2023-02/2022-2025-MEDIUM-TERM-PROGRAMME-FRAMEWORK-en.pdf
Annual Report 2019,2020,https://www.unido.org/sites/default/files/unido-publications/2023-03/Annual-Report-2019-en.pdf
"Webinar presentation on ""Towards energy efficient retail refrigeration in developing countries"" (2020)",2020,https://www.unido.org/sites/default/files/unido-publications/2023-01/Towards-energy-efficient-retail-refrigeration-in-developing-countries-en.pdf
Industrial Development Report 2020,2019,https://www.unido.org/sites/default/files/unido-publications/2023-03/UNIDO-IDR2020-main-report-en.pdf
Promoting Sustainable Bush-Processing Value Chains - Namibia,2019,https://www.unido.org/sites/default/files/unido-publications/2024-10/Promoting%20Sustainable%20Bush-Processing%20Value%20Chains%20-%20Namibia.pdf
Making IT - Issue 27,2019,https://www.unido.org/sites/default/files/unido-publications/2025-03/MakingIt-27-46pp.pdf
Making IT - Issue 26,2019,https://www.unido.org/sites/default/files/unido-publications/2025-03/makingit_26_web.pdf
Circular economy and the Montreal Protocol Division,2019,https://www.unido.org/sites/default/files/unido-publications/2023-02/CIRCULAR-ECONOMY-and-the-Montreal-Protocol-Division-en.pdf
Gender Equality in the Sustainable Energy Transition,2019,https://www.unido.org/sites/default/files/unido-publications/2023-11/UNW_UNIDO_Gender_Equality_in_the_Sustainable_Energy_Transition_GuidanceN....pdf
Inclusive Sustainable Industrial Development - The Gender Dimension,2019,https://www.unido.org/sites/default/files/unido-publications/2023-11/UNIDO_ISID_The_Gender_Dimension.pdf
Annual Report 2018,2019,https://www.unido.org/sites/default/files/unido-publications/2023-03/Annual-Report-2018-en.pdf
Industrial Development Report 2020 - Overview,2019,https://www.unido.org/sites/default/files/unido-publications/2023-03/UNIDO-IDR2020-Overview-en.pdf
"Programme and Budgets 2020-2021, Proposals of the Director General",2019,https://www.unido.org/sites/default/files/unido-publications/2023-03/ProgrammeBudgets-2020-en.pdf
Kigali in Action,2019,https://www.unido.org/sites/default/files/unido-publications/2023-03/Kigali%20in%20Action-en.PDF
Abu Dhabi Declaration (2019),2019,https://www.unido.org/sites/default/files/unido-publications/2023-03/AbuDhabiDeclaration-en.pdf
Sustainable Food Cold Chain,2019,https://www.unido.org/sites/default/files/unido-publications/2023-01/Sustainable-Food-Cold-Chain-en.pdf
Making IT - Issue 24,2017,https://www.unido.org/sites/default/files/unido-publications/2025-03/makingit_24_full_web_0.pdf
Annual Report 2016,2017,https://www.unido.org/sites/default/files/unido-publications/2023-03/Annual-Report-2016-en.pdf
"UNIDO Medium-term programme framework, 2018-2021",2017,https://www.unido.org/sites/default/files/unido-publications/2023-03/MidTermPro-2018-en.pdf
The Montreal Protocol evolves to fight climate change,2017,https://www.unido.org/sites/default/files/unido-publications/2023-01/The-Montreal-Protocol-Evolves-To-Fight-Climate-Change-en.pdf
Industrial Development Report 2018 - Overview,2017,https://www.unido.org/sites/default/files/unido-publications/2023-03/IDR-2018-OVERVIEW-en.pdf
Finding climate friendly ways to cool down - PRAHA project,2017,https://www.unido.org/sites/default/files/unido-publications/2023-03/PRAHA%20project-en.pdf
Decentralized Sustainable Energy Planning Manual,2017,https://www.unido.org/sites/default/files/unido-publications/2022-12/Decentralized-Sustainable-Energy-Planning-Manual-en.pdf
Some like it cool UNIDO and the Montreal Protocol,2017,https://www.unido.org/sites/default/files/unido-publications/2023-01/Some-like-it-cool-UNIDO-and-the-Montreal-Protocol.pdf
50 years UNIDO Department of Environment,2016,https://www.unido.org/sites/default/files/unido-publications/2023-03/50%20years%20UNIDO%20Department%20of%20Environment-en.pdf
Resolution: Third Industrial Development Decade for Africa (2016–2025),2016,https://www.unido.org/sites/default/files/unido-publications/2023-03/ThirdIndDevDecadeforAfrica-2016-en.pdf
Cold Chain Helps Feed The Planet,2016,https://www.unido.org/sites/default/files/unido-publications/2023-02/Cold-Chain-Helps-Feed-The-Planet-en.pdf
Fixing Fridges Helps Save The Planet,2016,https://www.unido.org/sites/default/files/unido-publications/2023-02/Fixing-Fridges-Helps-Save-the-Planet-en.pdf
Making It Green - Department of environment,2016,https://www.unido.org/sites/default/files/unido-publications/2023-02/Making-It-Green-Department-of-environment-UNIDO-en.pdf
Industrial Development Report 2016,2015,https://www.unido.org/sites/default/files/unido-publications/2023-03/IDR-2016-REPORT-en.pdf
Guide on Gender Mainstreaming: Environmental Management Projects,2015,https://www.unido.org/sites/default/files/unido-publications/2023-02/Guide-on-gender-mainstreaming-Environmental-management-projects-UNIDO-en.pdf
Berry cultivation in Chile - ES,2015,https://www.unido.org/sites/default/files/unido-publications/2023-03/Berry%20cultivation%20in%20Chile-es.pdf
Industrial Development Report 2016 - Overview,2015,https://www.unido.org/sites/default/files/unido-publications/2023-03/IDR-2016-OVERVIEW-en.pdf
Técnicas de Producción para el cultivo protegido de Tomates (Tomato Cultivation Techniques),2014,https://www.unido.org/sites/default/files/unido-publications/2023-01/Tomato-Cultivation-Techniques-es.pdf
Lima Declaration (2013),2013,https://www.unido.org/sites/default/files/unido-publications/2023-03/LimaDeclaration-en.pdf
Factors influencing the international trade of carbon offsets from the destruction of ozone depleting substances,2013,https://www.unido.org/sites/default/files/unido-publications/2023-02/Factors-influencing-the-international-trade-of-carbon-offsets-from-the-destruction-of-ozone-depleting-substances-en.pdf
25 years Montreal Protocol information sheet on Solvents,2010,https://www.unido.org/sites/default/files/unido-publications/2023-02/Montreal-Protocol-information-sheet-Solvents-en.pdf
25 years Montreal Protocol information sheet on Menthyl bromide,2010,https://www.unido.org/sites/default/files/unido-publications/2023-02/Montreal-Protocol-information-sheet-Methyl-bromide-en.pdf
25 years Montreal Protocol information sheet,2010,https://www.unido.org/sites/default/files/unido-publications/2023-02/Montreal-Protocol-information-sheet-General-UNIDO-en.pdf
25 years Montreal Protocol information sheet on Fridges,2010,https://www.unido.org/sites/default/files/unido-publications/2023-02/Montreal-Protocol-information-sheet-Fridge-UNIDO-en.pdf
25 years Montreal Protocol information sheet on Foam,2010,https://www.unido.org/sites/default/files/unido-publications/2023-02/Montreal-Protocol-information-sheet-Foam-UNIDO-en.pdf
Manual on operations under multilateral environmental agreements Montreal Protocol on substances that deplete the ozone layer and Stockholm Convention on persistent organic pollutants,2009,https://www.unido.org/sites/default/files/unido-publications/2023-02/Manual-on-operations-under-multilateral-environmental-agreements-Montreal-Protocol-and-Stockholm-Convention-UNIDO-en.pdf
"Preparing for HCFC phase-out: Fundamentals of uses, alternatives, implications and funding for Article 5 countries",2009,https://www.unido.org/sites/default/files/unido-publications/2023-01/Preparing-for-HCFC-phase-out-en.pdf
Greening of industry under the Montreal Protocol - Background paper,2009,https://www.unido.org/sites/default/files/unido-publications/2023-02/Greening-of-industry-under-the-Montreal-Protocol-Background-paper-en.pdf
Chiller replacements - Linking the Montreal Protocol and the Kyoto Protocol,2008,https://www.unido.org/sites/default/files/unido-publications/2023-02/Chiller-replacements-Linking-the-Montreal-Protocol-and-the-Kyoto-Protocol-en.pdf
